Current Test: datasets\c4p3.txt
Current Gen	| Free space (%) | Misfits | Chromosome (X, Y)
0			  5.36111					3			(40), (12), (18), (44), (16), (1), (34), (31), (6), (21), (30), (22), (9), (20), (17), (14), (15), (28), (35), (5), (42), (4), (24), (29), (39), (45), (27), (23), (19), (25), (48), (47), (32), (7), (36), (8), (46), (33), (43), (10), (3), (37), (2), (11), (13), (38), (41), (26), (0), 
2			  5.08334					3			(29), (8), (35), (18), (44), (46), (12), (41), (31), (2), (20), (48), (27), (25), (38), (10), (6), (37), (36), (3), (40), (26), (30), (33), (19), (11), (4), (22), (17), (43), (28), (7), (13), (39), (42), (16), (45), (5), (24), (23), (9), (21), (32), (14), (1), (15), (47), (0), (34), 
6			  4.27778					1			(25), (32), (46), (48), (14), (11), (0), (1), (37), (12), (7), (44), (3), (5), (45), (2), (33), (29), (41), (40), (39), (42), (24), (23), (34), (15), (18), (35), (6), (8), (19), (28), (17), (36), (30), (16), (21), (47), (4), (26), (31), (20), (10), (43), (22), (27), (9), (38), (13), 
8			  4.13889					2			(46), (44), (26), (23), (5), (34), (8), (12), (32), (27), (38), (16), (40), (7), (14), (1), (21), (35), (37), (47), (18), (39), (13), (36), (11), (48), (4), (15), (20), (6), (28), (42), (3), (29), (31), (9), (19), (0), (30), (22), (45), (17), (43), (41), (10), (2), (33), (25), (24), 
18			  4.02778					3			(20), (46), (13), (9), (32), (40), (26), (7), (44), (43), (47), (10), (45), (15), (4), (24), (22), (8), (6), (2), (31), (21), (48), (39), (28), (5), (25), (36), (19), (27), (12), (0), (38), (23), (17), (3), (16), (33), (41), (35), (18), (30), (1), (34), (14), (42), (11), (29), (37), 
22			  3.80556					3			(20), (46), (13), (9), (32), (40), (26), (7), (44), (43), (47), (10), (45), (15), (4), (24), (35), (8), (6), (2), (31), (21), (48), (39), (28), (5), (25), (36), (19), (27), (12), (0), (38), (30), (17), (3), (22), (33), (18), (16), (41), (23), (1), (34), (14), (42), (11), (29), (37), 
28			  3.72222					2			(9), (41), (45), (21), (44), (36), (20), (10), (1), (28), (19), (39), (31), (14), (37), (15), (48), (35), (29), (47), (26), (5), (27), (40), (2), (30), (32), (43), (34), (24), (8), (12), (11), (38), (7), (4), (46), (25), (3), (6), (16), (18), (17), (13), (23), (42), (0), (33), (22), 
44			  3.33334					2			(9), (41), (45), (21), (44), (36), (20), (10), (1), (28), (19), (39), (31), (35), (37), (15), (48), (32), (47), (14), (26), (5), (27), (40), (2), (30), (16), (43), (34), (24), (25), (12), (3), (11), (7), (4), (46), (29), (38), (6), (8), (18), (17), (13), (23), (42), (0), (33), (22), 
74			  3.05556					2			(15), (8), (5), (16), (6), (23), (9), (32), (13), (47), (7), (37), (45), (28), (17), (48), (29), (36), (20), (40), (39), (4), (30), (24), (41), (26), (46), (0), (33), (38), (1), (14), (27), (34), (10), (22), (19), (18), (25), (12), (35), (42), (21), (3), (44), (43), (31), (11), (2), 
114			  2.80556					2			(14), (8), (5), (17), (6), (23), (9), (24), (13), (47), (7), (37), (48), (30), (34), (45), (40), (36), (18), (29), (39), (4), (28), (41), (32), (19), (38), (26), (35), (46), (1), (3), (10), (21), (0), (22), (33), (12), (25), (2), (20), (43), (16), (15), (11), (44), (31), (42), (27), 
