Current Test: datasets\c4p3.txt
Current Gen	| Free space (%) | Misfits | Chromosome (X, Y)
0			  4.27778					1			(19), (46), (16), (18), (21), (1), (47), (44), (41), (25), (26), (14), (5), (40), (33), (39), (11), (43), (28), (27), (38), (36), (42), (12), (37), (8), (6), (30), (32), (23), (3), (48), (7), (22), (20), (2), (9), (10), (35), (24), (13), (15), (0), (34), (45), (4), (17), (31), (29), 
8			  3.25					2			(6), (3), (48), (33), (34), (35), (11), (38), (5), (39), (47), (44), (0), (24), (4), (36), (32), (29), (9), (8), (21), (45), (15), (40), (7), (31), (26), (2), (16), (28), (27), (30), (41), (46), (17), (22), (14), (12), (1), (13), (43), (42), (20), (10), (18), (23), (37), (19), (25), 
10			  3.22222					2			(6), (3), (48), (33), (34), (35), (11), (38), (5), (39), (47), (44), (0), (24), (4), (36), (32), (29), (9), (8), (27), (45), (15), (40), (7), (31), (26), (2), (25), (28), (21), (30), (41), (46), (17), (22), (14), (12), (1), (13), (43), (42), (20), (10), (18), (23), (37), (19), (16), 
12			  2.5					2			(6), (3), (48), (33), (34), (35), (11), (38), (5), (39), (47), (44), (0), (24), (4), (36), (32), (29), (9), (8), (27), (45), (15), (40), (7), (31), (26), (2), (25), (28), (21), (30), (41), (46), (18), (22), (14), (12), (1), (13), (43), (42), (20), (10), (17), (23), (37), (19), (16), 
44			  2.22222					1			(6), (3), (48), (33), (34), (35), (11), (38), (5), (39), (44), (47), (21), (24), (4), (36), (32), (29), (2), (8), (27), (14), (45), (40), (7), (31), (19), (9), (25), (28), (16), (30), (41), (46), (18), (37), (0), (12), (1), (43), (22), (13), (20), (10), (23), (26), (42), (17), (15), 
338			  2					2			(47), (35), (40), (21), (32), (11), (5), (10), (33), (6), (27), (48), (26), (44), (4), (14), (19), (36), (8), (22), (2), (45), (20), (39), (31), (7), (0), (9), (25), (29), (28), (30), (13), (41), (3), (34), (43), (46), (38), (12), (16), (23), (18), (17), (37), (24), (1), (15), (42), 
448			  1.77778					2			(47), (8), (39), (18), (32), (34), (11), (5), (48), (6), (29), (17), (1), (44), (21), (4), (19), (40), (35), (22), (2), (45), (15), (36), (31), (7), (0), (9), (28), (37), (27), (25), (30), (41), (3), (38), (46), (23), (16), (33), (12), (10), (43), (24), (13), (14), (20), (26), (42), 
494			  1.66666					2			(47), (8), (39), (18), (32), (34), (11), (5), (29), (48), (6), (15), (21), (44), (1), (4), (35), (19), (40), (33), (2), (45), (22), (36), (31), (7), (0), (9), (27), (25), (37), (28), (30), (41), (3), (38), (46), (23), (16), (20), (12), (10), (43), (26), (13), (14), (24), (17), (42), 
776			  1.63889					3			(8), (48), (39), (11), (5), (19), (38), (6), (26), (1), (10), (44), (47), (29), (33), (4), (21), (35), (15), (2), (40), (17), (45), (36), (31), (7), (0), (14), (9), (28), (25), (30), (41), (27), (23), (24), (20), (37), (22), (12), (46), (13), (43), (16), (3), (18), (32), (34), (42), 
972			  1.5					1			(47), (48), (40), (11), (0), (18), (5), (6), (8), (10), (17), (44), (1), (14), (4), (26), (16), (36), (21), (2), (35), (29), (45), (39), (7), (31), (19), (20), (9), (25), (33), (37), (30), (28), (41), (24), (23), (38), (12), (46), (43), (27), (42), (15), (32), (13), (3), (34), (22), 
